"";"Var1";"Freq"
"1280";"meta-analysis";71
"943";"higher education";58
"681";"educational policy";37
"29";"achievement";32
"2198";"systematic review";28
"1726";"race";26
"865";"gender";24
"550";"descriptive analysis";22
"1591";"policy analysis";21
"10";"academic achievement";20
"1790";"regression analyses";20
"1360";"motivation";19
"756";"equity";18
"1472";"online learning";15
"1876";"school";14
"269";"class inequality";12
"1215";"longitudinal studies";12
"1248";"mathematics education";12
"1676";"program evaluation";12
"1826";"research utilization";12
"1967";"self-regulated learning";12
"2115";"stem";12
"2225";"teacher effectiveness";12
"31";"achievement gap";11
"117";"assessment";11
"200";"blended learning";11
"769";"evaluation";11
"1317";"mixed methods";11
"1615";"postsecondary education";11
"26";"accountability";10
"50";"adolescence";10
"634";"early childhood";10
"657";"education policy";10
"689";"effect size";10
"949";"historical analysis";10
"1024";"inequality";10
"1156";"learning";10
"1158";"learning analytics";10
"1164";"learning environments";10
"1589";"policy";10
"1667";"professional development";10
"1710";"qualitative research";10
"1763";"reading";10
"1837";"retention";10
"1884";"school choice";10
"1895";"school effects";10
"2304";"tracking";10
"126";"at-risk students";9
"560";"development";9
"682";"educational reform";9
"732";"engagement";9
"784";"experimental design";9
"786";"experimental research";9
"1764";"reading comprehension";9
"1818";"research methodology";9
"2131";"structural equation modeling";9
"2221";"teacher education";9
"327";"collaborative learning";8
"514";"curriculum";8
"706";"elementary school";8
"968";"identity";8
"1416";"network meta-analysis";8
"1619";"poverty";8
"1707";"qualitative";8
"2050";"social presence";8
"2349";"urban education";8
"2355";"validity";8
"322";"coleman report";7
"353";"community colleges";7
"495";"cultural capital";7
"601";"disparities";7
"645";"econometric analysis";7
"653";"education";7
"767";"ethnicity";7
"940";"high schools";7
"1301";"middle school";7
"1717";"quantitative research on education";7
"1892";"school discipline";7
"1927";"science education";7
"1987";"ses";7
"2021";"social capital";7
"2043";"social media";7
"2046";"social network analysis";7
"2176";"summer learning";7
"2185";"survey research";7
"2246";"teacher research";7
"250";"charter schools";6
"441";"correlational analysis";6
"597";"discourse analysis";6
"614";"diversity";6
"768";"ethnography";6
"773";"evidence synthesis";6
"899";"graduate education";6
"1103";"interventions";6
"1148";"leadership";6
"1196";"literacy";6
"1243";"mathematics";6
"1392";"multisite studies";6
"1659";"problem solving";6
"1711";"qualitative research on education";6
"1719";"quasi-experimental analysis";6
"1960";"self-efficacy";6
"2022";"social class";6
"2134";"student achievement";6
"2351";"urban schooling";6
"263";"civic engagement";5
"399";"conceptual learning";5
"552";"design practice";5
"658";"education reform";5
"665";"educational attainment";5
"863";"gay";5
"932";"hierarchical linear modeling";5
"1028";"informal learning";5
"1054";"instructional design";5
"1058";"instructional practices";5
"1099";"intersectionality";5
"1216";"longitudinal studies of education";5
"1296";"methodology";5
"1566";"persistence";5
"1584";"pisa";5
"1700";"publication bias";5
"1801";"reliability";5
"1953";"segregation";5
"2040";"social justice";5
"2184";"survey";5
"2212";"teacher assessment";5
"2331";"undergraduate";5
"20";"academic self-concept";4
"55";"adolescents";4
"108";"argumentation";4
"133";"attrition";4
"255";"childhood";4
"314";"cognitive presence";4
"355";"community of inquiry";4
"473";"critical race theory";4
"508";"culture";4
"648";"economics of education";4
"650";"edge computing";4
"667";"educational data mining";4
"670";"educational equity";4
"823";"finance";4
"1000";"inclusion";4
"1002";"inclusivity";4
"1062";"instructional technologies";4
"1069";"intelligent tutoring systems";4
"1091";"internet of things";4
"1109";"iot";4
"1203";"literature searching";4
"1211";"longitudinal";4
"1258";"measurements";4
"1278";"meritocracy";4
"1287";"meta-regression";4
"1623";"practice";4
"1694";"psychology";4
"1696";"psychometrics";4
"1744";"random effects";4
"1912";"school readiness";4
"1947";"secondary data analysis";4
"1948";"secondary education";4
"1959";"self-determination theory";4
"1970";"self-regulation";4
"2029";"social context";4
"2067";"socioeconomic status";4
"2087";"special education";4
"2113";"statistics";4
"2199";"systematic reviews";4
"2282";"testing";4
"2445";"writing";4
"3";"5g";3
"6";"ability grouping";3
"19";"academic performance";3
"34";"achievement goals";3
"116";"aspirations";3
"118";"assessment tools";3
"135";"authentication";3
"174";"bias";3
"181";"bilingual";3
"193";"black education";3
"225";"career choice";3
"231";"case study";3
"306";"cognitive ability";3
"323";"collaboration";3
"340";"college life";3
"344";"college students";3
"365";"comparative education";3
"370";"compensation";3
"389";"computer-supported collaborative learning";3
"423";"content analysis";3
"461";"creativity";3
"477";"critical theory";3
"478";"critical thinking";3
"538";"decision making";3
"562";"developmental education";3
"591";"disability studies";3
"603";"distance education";3
"622";"drone";3
"659";"education research";3
"674";"educational inequality";3
"702";"elementary";3
"709";"elementary schools";3
"712";"elites";3
"744";"english language arts";3
"745";"english language learners";3
"747";"english learners";3
"776";"evidence-based practice";3
"803";"factor analysis";3
"804";"faculty";3
"814";"feedback";3
"824";"financial aid";3
"829";"first year";3
"840";"flipped classroom";3
"872";"gender studies";3
"877";"gentrification";3
"884";"globalization";3
"927";"heterogeneity";3
"963";"hybrid learning";3
"983";"immigrants";3
"984";"immigration";3
"1017";"individual differences";3
"1030";"information retrieval";3
"1057";"instructional methods";3
"1077";"interdisciplinary";3
"1086";"international education";3
"1101";"intervention";3
"1118";"k-12";3
"1119";"kindergarten";3
"1182";"lesbian studies";3
"1201";"literature review";3
"1202";"literature search";3
"1221";"machine learning";3
"1229";"massive open online courses";3
"1307";"minorities";3
"1322";"mixed-methods";3
"1352";"moocs";3
"1377";"multimedia learning";3
"1422";"networks";3
"1449";"observational research";3
"1460";"online assessment";3
"1518";"parent education";3
"1644";"preschool";3
"1652";"principals";3
"1654";"privacy";3
"1669";"professional learning";3
"1671";"professional skills";3
"1747";"random-effects model";3
"1789";"regression";3
"1885";"school climate";3
"1903";"school leadership";3
"1906";"school organization";3
"1925";"science";3
"1978";"sensemaking";3
"1999";"simulation";3
"2048";"social networks";3
"2056";"social studies education";3
"2179";"summer setback";3
"2195";"synthesis";3
"2216";"teacher characteristics";3
"2231";"teacher knowledge";3
"2235";"teacher learning";3
"2255";"teachers";3
"2261";"teaching presence";3
"2272";"technology";3
"2284";"text mining";3
"2310";"transgender";3
"2392";"visualization";3
"2399";"wearable devices";3
"2422";"wireless sensing";3
"2437";"working conditions";3
"8";"absenteeism";2
"12";"academic engagement";2
"22";"accelerometer";2
"27";"accountability policy";2
"32";"achievement gaps";2
"33";"achievement goal";2
"38";"acoustic signals";2
"41";"active learning";2
"46";"adhd";2
"58";"adult education";2
"59";"adult students";2
"71";"affirmative action";2
"88";"analysis";2
"113";"arts";2
"155";"bayesian analysis";2
"162";"bayesian statistics";2
"169";"beliefs";2
"177";"bicultural";2
"183";"binary data";2
"189";"bisexual";2
"230";"case studies";2
"235";"causal attributions";2
"236";"causal inference";2
"241";"cellular";2
"246";"change";2
"251";"cheating";2
"261";"citation searching";2
"262";"civic education";2
"270";"class size";2
"284";"classroom practice";2
"287";"classroom research";2
"295";"cluster analysis";2
"302";"cochrane";2
"305";"cognition";2
"311";"cognitive engagement";2
"312";"cognitive load";2
"326";"collaborative inquiry";2
"338";"college completion";2
"351";"communities of practice";2
"360";"community of practice";2
"376";"completion";2
"383";"comprehension";2
"391";"computers and learning";2
"397";"conceptual change";2
"398";"conceptual knowledge";2
"407";"confidence interval";2
"408";"confidence intervals";2
"417";"constant comparative method";2
"424";"context";2
"434";"cooperative learning";2
"436";"core practices";2
"442";"cost-effectiveness";2
"457";"coverage probability";2
"472";"critical questions";2
"497";"cultural diversity";2
"504";"culturally relevant education";2
"526";"data fusion";2
"532";"data visualization";2
"543";"decoding";2
"554";"design process";2
"556";"design thinking";2
"557";"design-based research";2
"559";"developing countries";2
"564";"device authentication";2
"596";"discourse";2
"598";"discourse network analysis";2
"604";"distance learning";2
"620";"doppler shift";2
"624";"dropout";2
"642";"ec";2
"643";"ecls-k";2
"661";"educational achievement";2
"676";"educational leadership";2
"684";"educational stratification";2
"685";"educational technology";2
"693";"effectiveness";2
"697";"effort";2
"703";"elementary education";2
"724";"empathy";2
"734";"engineering";2
"735";"engineering culture";2
"736";"engineering curriculum";2
"739";"engineering pathways";2
"742";"engineering standards";2
"749";"entrepreneurship";2
"761";"ethics";2
"779";"exclusionary discipline";2
"807";"faculty development";2
"843";"fmcw";2
"850";"framework";2
"860";"funnel plot";2
"864";"gay-straight alliance";2
"892";"governance";2
"893";"gpa";2
"895";"grade";2
"903";"graph theory";2
"905";"grit";2
"910";"group performance";2
"918";"hbcu";2
"919";"head start";2
"937";"high school";2
"971";"ieee 802.11";2
"994";"imu";2
"995";"in-depth interviewing";2
"1009";"indigenous education";2
"1014";"indirect comparison";2
"1032";"information sources";2
"1044";"institutional adoption";2
"1046";"institutional theory";2
"1049";"instruction";2
"1074";"intercultural competence";2
"1092";"internet-of-things";2
"1123";"knowledge construction";2
"1130";"language";2
"1131";"language comprehension";2
"1146";"law";2
"1160";"learning communities";2
"1162";"learning environment";2
"1179";"legal";2
"1181";"lesbian";2
"1195";"linux";2
"1245";"mathematics anxiety";2
"1263";"mediation";2
"1273";"mental health";2
"1290";"metacognition";2
"1302";"middle schools";2
"1304";"migration";2
"1312";"misconceptions";2
"1314";"missing data";2
"1318";"mixed methods research";2
"1321";"mixed treatment comparisons";2
"1330";"mobile computing";2
"1332";"mobile device";2
"1335";"mobile edge computing";2
"1336";"mobile health";2
"1340";"mobile sensing";2
"1350";"moisture";2
"1375";"multilevel modeling";2
"1393";"multivariate meta-analysis";2
"1408";"neighborhood change";2
"1409";"neighborhood effects";2
"1421";"networking";2
"1425";"nfv";2
"1427";"nma";2
"1428";"no child left behind";2
"1434";"noncognitive skills";2
"1441";"number sense";2
"1465";"online discussion";2
"1466";"online education";2
"1471";"online interaction";2
"1483";"opportunity to learn";2
"1486";"oral language";2
"1488";"organization theory";2
"1493";"organizational structure";2
"1519";"parent involvement";2
"1521";"parent relationships";2
"1524";"parental involvement";2
"1528";"parents and families";2
"1540";"peer effects";2
"1542";"peer influence";2
"1548";"peer relations";2
"1550";"peer review";2
"1560";"performance assessment";2
"1572";"phenomenography";2
"1596";"policy-oriented research";2
"1602";"politics";2
"1604";"poor comprehenders";2
"1620";"poverty and education";2
"1626";"practice-based teacher education";2
"1640";"prekindergarten";2
"1653";"prior knowledge";2
"1661";"problem-solving";2
"1670";"professional practice";2
"1672";"professional socialization of teachers";2
"1691";"psychological intervention";2
"1729";"race/ethnicity";2
"1749";"randomized controlled trial";2
"1766";"reading difficulties";2
"1768";"reading fluency";2
"1784";"refugee";2
"1792";"regression discontinuity";2
"1799";"relative tof";2
"1819";"research methods";2
"1822";"research quality";2
"1834";"restorative justice";2
"1838";"retrieval practice";2
"1847";"rfid";2
"1864";"sampling";2
"1872";"scheduling";2
"1886";"school closure";2
"1888";"school context";2
"1889";"school counseling";2
"1897";"school engagement";2
"1921";"school-to-prison pipeline";2
"1922";"school/teacher effectiveness";2
"1923";"schools";2
"1937";"sdn";2
"1956";"self-concept";2
"2019";"social and emotional learning (sel)";2
"2023";"social cognitive career theory";2
"2037";"social inequality";2
"2053";"social responsibility";2
"2055";"social stratification";2
"2057";"social support";2
"2062";"socialization";2
"2069";"sociology";2
"2073";"soil sensing";2
"2078";"spatial ability";2
"2096";"spelling";2
"2128";"stratification";2
"2129";"stress";2
"2138";"student cognition";2
"2144";"student engagement";2
"2153";"student perception";2
"2162";"students' perceptions";2
"2169";"sub-saharan africa";2
"2187";"suspension";2
"2208";"taxonomy";2
"2219";"teacher context";2
"2226";"teacher effects";2
"2227";"teacher evaluation";2
"2244";"teacher professional development";2
"2251";"teacher support";2
"2252";"teacher turnover";2
"2258";"teaching and learning";2
"2271";"teamwork";2
"2308";"transfer";2
"2312";"transitions";2
"2321";"twins";2
"2326";"uav";2
"2332";"undergraduate education";2
"2340";"undocumented students";2
"2352";"urban schools";2
"2356";"validity/reliability";2
"2358";"value-added models";2
"2372";"victimization";2
"2382";"violence";2
"2394";"vocabulary";2
"2400";"wearables";2
"2408";"whatsapp";2
"2409";"whiteness";2
"2410";"wi-fi";2
"2412";"wifi";2
"2414";"wiki";2
"2435";"worked examples";2
"2438";"working memory";2
"2444";"world society theory";2
"2452";"youth programs";2
"1";"1.5 generation";1
"2";"21st century skills";1
"4";"a student composition";1
"5";"ability";1
"7";"ability self-concept";1
"9";"academe";1
"11";"academic analytics";1
"13";"academic interaction";1
"14";"academic interventions";1
"15";"academic labor markets";1
"16";"academic language";1
"17";"academic learning";1
"18";"academic motivation";1
"21";"academic tracking";1
"23";"access";1
"24";"access control";1
"25";"accessibility";1
"28";"accountability testing";1
"30";"achievement discourses";1
"35";"achievement inequality";1
"36";"achievement inequities";1
"37";"achievement sorting";1
"39";"acoustics";1
"40";"action atomization";1
"42";"active visual recognition";1
"43";"activity recognition";1
"44";"adaptive teaching";1
"45";"adaptive video streaming";1
"47";"administration";1
"48";"administrative data";1
"49";"admissions";1
"51";"adolescent cognitive addition";1
"52";"adolescent identity";1
"53";"adolescent literacy";1
"54";"adolescent risk behavior";1
"56";"adoption framework";1
"57";"adult distance learning";1
"60";"advanced coursework";1
"61";"advanced placement";1
"62";"advantage";1
"63";"adverse effects";1
"64";"advice";1
"65";"advice networks";1
"66";"advising";1
"67";"advocacy";1
"68";"advocacy coalition framework";1
"69";"affective computing";1
"70";"affective theories";1
"72";"affordances";1
"73";"african american";1
"74";"african american girls";1
"75";"african americans";1
"76";"age";1
"77";"age-appropriate support";1
"78";"agency";1
"79";"agriculture";1
"80";"algebra";1
"81";"alternative apps";1
"82";"alternative schools";1
"83";"alzheimer's";1
"84";"ambulatory assessment";1
"85";"american higher education";1
"86";"american indian education";1
"87";"an integrated network analysis framework";1
"89";"analysis model";1
"90";"analysis strategies";1
"91";"analytic autoethnography";1
"92";"ancova";1
"93";"and between-individual effects";1
"94";"android malware";1
"95";"android security";1
"96";"android wear";1
"97";"animations";1
"98";"anti-blackness";1
"99";"antideficit";1
"100";"antidepressants";1
"101";"antioppressive";1
"102";"antiracist";1
"103";"apple";1
"104";"application behavior";1
"105";"appraisal";1
"106";"approaches to face-to-face and online discussions";1
"107";"approximate number system (ans)";1
"109";"arithmetic development";1
"110";"arithmetic fluency";1
"111";"arithmetic problem-solving";1
"112";"armed conflict";1
"114";"asian american";1
"115";"asperger";1
"119";"assignment feedback";1
"120";"assignment marking";1
"121";"association-free communication";1
"122";"asynchronous";1
"123";"asynchronous distance learning";1
"124";"asynchronous online discussion";1
"125";"asynchronous video feedback";1
"127";"attainment";1
"128";"attendance";1
"129";"attitude";1
"130";"attitudes";1
"131";"attribution theory";1
"132";"attributions";1
"134";"augmented reality";1
"136";"autism";1
"137";"autoethnography";1
"138";"automated grading";1
"139";"automated scoring and guidance";1
"140";"automated text classification";1
"141";"automaticity";1
"142";"automaticity in word recognition";1
"143";"autonomous motivation";1
"144";"autoregressive latent trajectory model";1
"145";"average response time";1
"146";"award-winning faculty";1
"147";"awdl";1
"148";"bachelor's degree attainment";1
"149";"backscatter";1
"150";"backward methods";1
"151";"barriers";1
"152";"basic addition and subtraction facts";1
"153";"batteries-as-sensors";1
"154";"bayesian";1
"156";"bayesian and frequentist methods";1
"157";"bayesian imputation";1
"158";"bayesian latent class meta";1
"159";"bayesian modelling";1
"160";"bayesian network meta-analysis";1
"161";"bayesian nonparametrics";1
"163";"behavior problems";1
"164";"behavioral decision theory";1
"165";"behavioral pattern";1
"166";"behavioral problems";1
"167";"behavioral regulation";1
"168";"behavioral skills";1
"170";"benevolence";1
"171";"bernstein polynomials";1
"172";"between-school achievement variance";1
"173";"between-study heterogeneity";1
"175";"bibliography";1
"176";"bibliometric review";1
"178";"bifactor models";1
"179";"big five";1
"180";"big-fish-little-pond effect";1
"182";"bilingual learners";1
"184";"binary outcomes";1
"185";"biomarker";1
"186";"biotechnology";1
"187";"biracial";1
"188";"biserial correlation";1
"190";"bite-sized learning";1
"191";"bitrate adaptation";1
"192";"bivariate meta-analysis";1
"194";"black feminist thought";1
"195";"black girls";1
"196";"black men";1
"197";"black students";1
"198";"black women";1
"199";"blended instruction";1
"201";"blended learning adoption stages";1
"202";"blending learning";1
"203";"blog";1
"204";"blogs";1
"205";"blood pressure";1
"206";"bluetooth low energy";1
"207";"body-guided communications";1
"208";"book giveaway programs";1
"209";"bookstart";1
"210";"boomeranging";1
"211";"bootstrap";1
"212";"bottleneck detection";1
"213";"boundary-crossing";1
"214";"bourdieu";1
"215";"brief interventions";1
"216";"broadening participation";1
"217";"bullying";1
"218";"burnout";1
"219";"byod";1
"220";"camera";1
"221";"campus climate";1
"222";"capacitive";1
"223";"career and technical education";1
"224";"career aspiration";1
"226";"career formation";1
"227";"career paths";1
"228";"careers";1
"229";"carrier phases";1
"232";"catchment zones";1
"233";"categorization";1
"234";"category learning";1
"237";"causal modeling";1
"238";"causal path analysis";1
"239";"causal thinking";1
"240";"cdn";1
"242";"cellular network";1
"243";"cellular range extension";1
"244";"center-based child care";1
"245";"central examinations";1
"247";"changes in critical thinking";1
"248";"channel state information";1
"249";"character";1
"252";"checking references";1
"253";"chicana";1
"254";"child development";1
"256";"children";1
"257";"china";1
"258";"chinese characters";1
"259";"chromatic eigenspace";1
"260";"chronic disease management";1
"264";"civic preparation";1
"265";"civil engineering";1
"266";"civil liberties";1
"267";"class";1
"268";"class culture";1
"271";"class video blog";1
"272";"classification error";1
"273";"classmates";1
"274";"classroom";1
"275";"classroom assessment";1
"276";"classroom composition";1
"277";"classroom discourse";1
"278";"classroom discussion";1
"279";"classroom effects";1
"280";"classroom evaluation";1
"281";"classroom interventions";1
"282";"classroom management";1
"283";"classroom observations";1
"285";"classroom processes";1
"286";"classroom quality";1
"288";"classroom sorting";1
"289";"classroom structure";1
"290";"classwide";1
"291";"clinical guidelines";1
"292";"cloud computing";1
"293";"cloud offloading";1
"294";"cloudlet";1
"296";"clustering";1
"297";"cmos";1
"298";"co-curricular";1
"299";"co-design";1
"300";"co-regulation";1
"301";"coaching";1
"303";"cochrane reviews";1
"304";"coefficient of determination";1
"307";"cognitive and noncognitive skills";1
"308";"cognitive behavioral therapy";1
"309";"cognitive development";1
"310";"cognitive emotional and social perceived learning";1
"313";"cognitive operations";1
"315";"cognitive processes";1
"316";"cognitive skills";1
"317";"cognitive strategies";1
"318";"cognitive theories";1
"319";"cognitive tutor";1
"320";"cognitively activating";1
"321";"col survey";1
"324";"collaborative";1
"325";"collaborative caching";1
"328";"collaborative work";1
"329";"collaborative writing environment";1
"330";"collective cheating";1
"331";"collective face wants";1
"332";"collective memory";1
"333";"college";1
"334";"college admission";1
"335";"college admissions";1
"336";"college admissions tests";1
"337";"college attendance and completion";1
"339";"college graduation";1
"341";"college major";1
"342";"college preparation";1
"343";"college readiness";1
"345";"college-going";1
"346";"colleges";1
"347";"colorblind ideology";1
"348";"commensuration";1
"349";"common core";1
"350";"communication skills";1
"352";"community college transfer";1
"354";"community involvement";1
"356";"community of inquiry framework";1
"357";"community of inquiry framework (coi)";1
"358";"community of inquiry model";1
"359";"community of inquiry survey";1
"361";"community schools";1
"362";"community-based leadership";1
"363";"community-based research";1
"364";"comorbidity";1
"366";"comparative education systems";1
"367";"comparative effectiveness research";1
"368";"comparing multiple interventions";1
"369";"comparison";1
"371";"compensatory advantage";1
"372";"competence";1
"373";"competence beliefs";1
"374";"competing risks";1
"375";"competition";1
"377";"complex dynamic systems";1
"378";"complex systems";1
"379";"complexity science";1
"380";"complications";1
"381";"component skills";1
"382";"composite decision rule";1
"384";"compulsory education";1
"385";"computating skills";1
"386";"computer architecture";1
"387";"computer vision";1
"388";"computer-assisted instruction";1
"390";"computer/smartphone competency";1
"392";"concept inventories";1
"393";"concept mapping";1
"394";"concept maps";1
"395";"conceptions of learning through discussions";1
"396";"concepts in practice";1
"400";"conceptual model";1
"401";"conceptual understanding";1
"402";"concerted cultivation";1
"403";"concurrent mixed methods";1
"404";"concussion";1
"405";"conditional cash transfers";1
"406";"conditional dependence";1
"409";"confirmatory factor analyses";1
"410";"confirmatory factor analysis";1
"411";"conflict";1
"412";"conformity";1
"413";"connectedness testing";1
"414";"connection making";1
"415";"connectivism";1
"416";"consistency";1
"418";"constraints";1
"419";"construct validity";1
"420";"constructionism";1
"421";"consumer citizen";1
"422";"containers";1
"425";"context-aware";1
"426";"contextual attainment";1
"427";"contingency tables";1
"428";"continuous authentication";1
"429";"contribution";1
"430";"convener interaction";1
"431";"convolutional neural network";1
"432";"cook's distance";1
"433";"cooperation";1
"435";"cooperative translation";1
"437";"core self-evaluation";1
"438";"corpus linguistics";1
"439";"correlation";1
